"Express Checkout and Order have been canceled.","Express Checkout og ordre er annulleret."
"Express Checkout has been canceled.","Express Checkout er annulleret."
"Fetch","Hent"
"PayPal Express Checkout (Payflow Edition) Shortcut Wrapper","PayPal Express Checkout (Payflow Edition) Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token eksisterer ikke."
"PayPal Express Order Review Form","PayPal Express ordreoversigt"
"PayPal Settlement Reports","PayPal Settlement Reports"
"Payment has been declined. Please try again.","Betalingen er afvist. Prøv igen."
"Pending PayPal","Afventer PayPal"
"Reports","Rapporter"
"Sales","Salg"
"Solo","Solo"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","Kunne ikke annullere Express Checkout."
"Unable to initialize Express Checkout review.","Unable to initialize Express Checkout review."
"Unable to place the order.","Unable to place the order."
"Unable to process Express Checkout approval.","Unable to process Express Checkout approval."
"Unable to start Express Checkout.","Unable to start Express Checkout."
"Unable to update shipping method.","Unable to update shipping method."
"View","Vis"
"View Transaction","Vis transaktion"
"Wrong PayPal Express Checkout Token specified.","Wrong PayPal Express Checkout Token specified."
"You will be redirected to the PayPal website in a few seconds.","Du sendes videre til PayPal om et øjeblik."
