"Update product's %s %s: %s","Aggiorna prodotto di %s %s: %s"
"Add New Rule","Aggiungi Nuova Regola"
"Apply Rules","Applica Regole"
"Active","Attivo"
"Product Attribute","Attributo del Prodotto"
"Actions","Azioni"
"Catalog","Catalogo"
"Category","Categoria"
"There are rules that has been changed but not applied. To see immediate effect in catalog, please click Apply Rules","Ci sono regole che sono modificate ma non ancora applicate. Per visualizzare le modifiche effettuate clicca su Applica Regole"
"Conditions Combination","Combinazione di Condizioni"
"Conditions","Condizioni"
"Conditions (leave blank for all products)","Condizioni (lascia in bianco per tutti i prodotti)"
"From Date","Dalla Data"
"Date From","Data Da"
"Date To","Data Fine"
"Date Start","Data Inizio"
"Date Expire","Data Scadenza"
"Description","Descrizione"
"Description: %s","Descrizione: %s"
"Delete Rule","Elimina Regola"
"Invoices","Fatture"
"Order Invoices","Fatture Ordine"
"Stop further rules processing","Ferma elaborazione altre regole"
"To Date","Fino A"
"Customer Groups","Gruppi Clienti"
"ID","ID"
"Customer is new buyer: %s","Il Cliente è nuovo: %s"
"Unable to apply rules","Impossibile applicare le regole"
"Unable to find a page to delete","Impossibile trovare una pagina da eliminare"
"Inactive","Inattivo"
"General Information","Informazioni Generali"
"Rule Information","Informazioni Regola"
"Customer registered: %s","Iscrizione Cliente: %s"
"The page you are trying to save no longer exists","La pagina che stai tentando di salvare non esiste più"
"Rule was successfully deleted","La Regola è stata eliminata correttamente"
"Rule was successfully saved","la Regola è stata salvata"
"Gift Messages","Messaggio di Auguri"
"Order Gift Messages","Messaggio di Auguri dell'Ordine"
"Edit Rule","Modifica Regola"
"Edit Rule '%s'","Modifica Regola '%s'"
"No","No"
"Rule Name","Nome Regola"
"Name: %s","Nome: %s"
"NOT LOGGED IN","NON AUTENTICATO"
"Order Credit Memos","Nota di Credito dell'Ordine"
"Credit Memos","Note di Credito"
"New Rule","Nuova Regola"
"Options","Opzioni"
"Start at: %s","Partire da: %s"
"Priority","Priorità"
"Promotions","Promozioni"
"This rule no longer exists","Questa regola non esiste più"
"Catalog Price Rule","Regola Listino Prezzi"
"Rules were successfully applied","Regole applicate correttamente"
"Catalog Price Rules","Regole Listino Prezzi"
"Save and Apply","Salva ed Applica"
"Save Rule","Salva Regola"
"Yes","Sì"
"Expire at: %s","Scade il: %s"
"Attribute Set","Set di Attributi"
"Websites","Sito Web"
"Shipments","Spedizioni"
"Order Shipments","Spedizioni Ordine"
"Status","Stato"
"Comments History","Storico Commenti"
"Order History","Storico Ordine"
