"-- Please Select --","-- Seleziona --"
"Add New Tax Rate","Aggiungi Nuova Aliquota"
"Add New Class","Aggiungi Nuova Classe"
"Add New Tax Rule","Aggiungi Nuova Regola d'Imposta"
"Tax Rate","Aliquota"
"Tax rate was successfully deleted","Aliquota eliminata correttamente"
"Tax rate was successfully imported","Aliquota importata correttamente"
"Tax rate was successfully saved","Aliquota salvata correttamente"
"Tax Rates","Aliquote"
"Reset","Azzera"
"Delete Rate","Cancella Aliquota"
"Delete Class","Cancella Classe"
"Delete Rule","Cancella Regola"
"Tax class was successfully deleted","Classe d'imposta cancellata correttamente"
"Customer Tax Class","Classe d'Imposta del Cliente"
"Product Tax Class","Classe d'Imposta Prodotto"
"Tax class was successfully saved","Classe d'imposta salvata correttamente"
"Customer Tax Classes","Classi d'Imposta dei Clienti"
"Product Tax Classes","Classi d'Imposta Prodotto"
"CSV","CSV"
"Incorrect rate Data","Dati aliquota non corretti"
"Invalid data for tax rate calculation","Dati non validi per calcolo aliquota"
"Error while saving this rate. Please try again later.","Errore durante il salvataggio di questa aliquota. Riprovare più tardi."
"Error while saving this tax class. Please try again later.","Errore durante il salvataggio di questa classe d'imposta. Riprovare più tardi."
"Error while saving this tax class. Class with the same name ","Errore durante il salvataggio di questa classe di tassa. Esiste giÃ  una classe con lo stesso nome"
"Error while saving this tax rule. Please try again later.","Errore durante il salvataggio di questa regola d'imposta. Riprovare più tardi."
"Error while deleting this rate. Incorrect rate ID","Errore durante la cancellazione di questa aliquota. ID aliquota errato"
"Error while deleting this rate. Please try again later.","Errore durante la cancellazione di questa aliquota. Riprovare più tardi."
"Error while deleting this class. Please try again later.","Errore durante la cancellazione di questa classe. Riprovare più tardi."
"Error while deleting this tax rule. Please try again later.","Errore durante la cancellazione di questa regola d'imposta. Riprovare più tardi."
"Export Tax Rates","Esporta Aliquote"
"Manage Tax Rates","Gestione Aliquote"
"Manage Customer Tax Classes","Gestione Classi d'Imposta Cliente"
"Manage Product Tax Classes","Gestione Classi d'Imposta Prodotto"
"Manage Tax Rules","Gestione Regole d'Imposta"
"County","Giurisdizione"
"ID","ID"
"Excl. Tax","Imp. Escl."
"Incl. Tax","Imp. Incl."
"Inc. Tax","Imp. Incl."
"Tax Rates Import / Export","Importa / Esporta Aliquote"
"Import / Export Tax Rates","Importa / Exporta Aliquote"
"Import Tax Rates","Importa Aliquote"
"Tax","Imposta"
"Back","Indietro"
"Tax Rate Information","Informazioni Aliquota"
"Customer Tax Class Information","Informazioni Classe d'Imposta del Cliente"
"Product Tax Class Information","Informazioni Classe d'Imposta Prodotto"
"Tax Rule Information","Informazioni Regola d'Imposta"
"Edit Tax Rate","Modifica Aliquota"
"Edit Class","Modifica Classe"
"Edit Class '%s'","Modifica Classe '%s'"
"Edit Rule","Modifica Regola"
"Class Name","Nome Classe"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Non puoi cancellare questa classe d'imposta perchè è usata in Regole d'Imposta. Devi prima cancellare le regole nelle quali è usata."
"You cannot delete this tax class as it is used for %d customer groups.","Non puoi cancellare questa classe d'imposta perchè è usata per %d  gruppi di clienti."
"You cannot delete this tax class as it is used for %d products.","Non puoi cancellare questa classe d'imposta perchè è usata per %d prodotti."
"NONE","NONE"
"New Tax Rate","Nuova Aliquota"
"New Class","Nuova Classe"
"New Rule","Nuova Regola"
"Country","Paese"
"This class no longer exists","Questa classe non esiste più"
"This rule no longer exists","Questa regola non esiste più"
"Tax rule was successfully deleted","Regola d'imposta eliminata correttamente"
"Tax rule was successfully saved","Regola d'imposta salvata correttamente"
"Tax Rules","Regole d'Imposta"
"Save Rate","Salva Aliquota"
"Save Class","Salva Classe"
"Save Rule","Salva Regola"
"Please select County","Seleziona Giurisdizione"
"Please select Country","Seleziona Paese"
"Please select State","Seleziona Stato"
"Are you sure you want to do this?","Sicuro di volerlo fare?"
"State","Stato"
"State/Region","Stato/Regione"
"Invalid file format upload attempt","Tentativo di caricamento di file con formato non valido"
"Invalid file upload attempt","Tentativo di caricamento di file non valido"
"One of row has invalid country code.","Una delle righe ha il codice nazione non valido."
"Sales","Vendite"
"XML","XML"
"Error while saving this tax rule. This product tax class and customer tax class combination","XXX Errore durante il salvataggio di questa regola d'imposta. Combinazione di classe d'imposta prodotto e classe d'imposta cliente"
"Zip/Post Code","Zip/Codice Postale"
