"Undefined rate from ""%s-%s""","""%s-%s""の定義されていないレート"
"Cannot retrieve rate from %s","%sからレートを取得できませんでした"
"-- Please select --","-- 選択して下さい --"
"Invalid rates received","不正なレートを受信しました"
"Invalid Import Service Specified","不正なインポート処理があります"
"Invalid country code: %s","不正な国コードです: %s"
"Default display currency","ディフォルトで表示される通貨"
"Base currency (Currency will be used for all online payment transactions)","ベース通貨(通ははすべてのオンライントランザクションで使用されます)"
"Unable to initialize import model","インポートしたモデルを初期化できませんでした"
"Installed Currencies","インストール済み通貨"
"Scheduled Import Settings","スケジュールされたインポート設定"
"Service","サービス"
"Country and Format Type combination should be unique","国とフォーマットタイプの組み合わせはユニークである必要があります"
"Your current currency is: %s","現在の通貨: %s"
"Continue &raquo;","続ける &raquo;"
"State/Province","県・地方"
"Invalid target currency","無効なターゲット通貨"
"Error Email Recipient","Email受信者エラー"
"Error Email Template","Emailテンプレートエラー"
"Error Email Sender","Email送信者エラー"
"Frequency","頻度"
"Allowed currencies","許可する通貨"
"WARNING:","警告:"
"Start Time","開始時間"
"FATAL ERROR:","致命的なエラー:"
"Currency","通貨"
"Currency Options","通貨オプション"
"Currency Setup","通貨セットアップ"
"Select Your Currency","通貨を選択してください"
"Currency Update Warnings","通貨更新警告"
"Enabled","有効"
