"Thank you for your subscription","ご購読ありがとうございます"
"Recipients","受取人"
"Save As","名前をつけて保存"
"Invalid queue selected","不正なキューが選択されました"
"Invalid subscription confirmation code","不正な購読確認コードです"
"Invalid subscriber ID","不正な購読者IDです"
"Invalid subscription ID","不正な購読IDです"
"Store","店舗"
"Store View","店舗ビュー"
"Subject","件名"
"Cannot save your subscription: %s","保存できませんでした: %s"
"Save And Resume","保存して続ける"
"Pause","ポーズ"
"Paused","ポーズ"
"Newsletter","メールマガジン"
"Save Newsletter","メールマガジンの保存"
"Newsletter Message Preview","メールマガジンプレビュー"
"Newsletter Templates","メールマガジンテンプレート"
"Edit Newsletter Template","メールマガジンテンプレートの編集"
"Newsletter Queue","メールマガジンキュー"
"Queue Newsletter","メールマガジンキュー"
"View Newsletter","メールマガジンを見る"
"Sign up for our newsletter:","メールマガジンを購読する:"
"Newsletter Problem Reports","メールマガジン問題報告"
"Edit Newsletter","メールマガジン編集"
"Newsletter Subscribers","メールマガジン購読者"
"Email","メールアドレス"
"Message","メッセージ"
"Reset","リセット"
"Resume","レジューム"
"Convert to Plain Text","プレーンテキストに変換"
"Preview","プレビュー"
"Save Template","テンプレートの保存"
"Preview Template","テンプレートのプレビュー"
"Edit Template","テンプレートの編集"
"No Templates Found","テンプレートが見つかりませんでした"
"Template Name","テンプレート名"
"Template Subject","テンプレート件名"
"Template Content","テンプレートコンテンツ"
"Duplicate of template code","テンプレートコードの重複"
"Template Type","テンプレートタイプ"
"Cannot delete template","テンプレートを削除できません"
"Are you sure that you want to delete this template?","テンプレートを削除してもいいですか？"
"Delete Template","テンプレート削除"
"Template Information","テンプレート情報"
"Add New Template","テンプレート新規追加"
"Form was filled incorrectly","フォームの値が不正です"
"Newsletter unsubscription success","ニュースレター解約成功"
"Newsletter subscription confirmation","ニュースレター購読確認"
"Newsletter subscription success","ニュースレター購読成功"
"Action","アクション"
"Website","ウェブサイト"
"Error Text","エラーテキスト"
"Error Code","エラーコード"
"Toggle Editor","エディタを閉じる"
"Cancel","キャンセル"
"Cancelled","キャンセル済"
"Add to Queue","キューに追加"
"Edit Queue","キューの編集"
"Queue Subject","キュー名"
"Do you really want to cancel the queue?","キューをキャンセルしてもいいですか？"
"Queue Finish","キュー終了日"
"Queue Start","キュー開始"
"Queue Date Start","キュー開始日"
"Queue Information","キュー情報"
"Guest","ゲスト様"
" Copy","コピー"
"Status","ステータス"
"Type","タイプ"
"Are you sure that you want to strip all tags?","タグを全て除去してもいいですか？"
"Processed","処理中"
"Selected problem subscribers successfully unsubscribed","問題の購読者を購読解除しました"
"No problems found","問題が見つかりませんでした"
"Selected problems successfully deleted","問題を削除しました"
"Confirmation request has been sent","確認のリクエストが送信されました"
"Need to Confirm","確認が必要"
"Confirmation Email Template","確認メールテンプレート"
"Confirmation Email Sender","確認メール送信者"
"Not activated","無効"
"Date Added","登録日"
"Delete Selected Problems","選択した問題を削除する"
"Customer","顧客"
"Customer Firstname","顧客の名前"
"Customer Lastname","顧客の姓名"
"Subscribe","購読"
"There was a problem with the subscription: %s","購読に問題があります: %s"
"Subcribed","購読中"
"Subscription Options","購読オプション"
"The subscription was successfully saved","購読を保存しました"
"There was an error while saving your subscription","購読を保存中にエラーが発生しました"
"Your subscription was successfully confirmed","購読を確認しました"
"There was a problem with the subscription","購読処理中に問題が発生しました"
"Unsubscribe","購読解除"
"There was a problem with the un-subscription.","購読解除中に発生した問題"
"Unsubscription Email Template","購読解除メールテンプレート"
"Unsubscription Email Sender","購読解除メール送信者"
"Subscriber","購読者"
"Subscribers","購読者"
"Subscribers From","購読者"
"No subscribers selected","購読者が選択されていません"
"Cannot delete subscriber","購読者を削除できません"
"Please select subscriber(s)","購読者を選択してください"
"Start","開始"
"Sending","送信中"
"Sender","送信者"
"Sender Name","送信者名"
"Sender Email","送信者アドレス"
"Sent","送信済"
"Return Html Version","HTML版に戻す"
"ID","ID"
"You have been successfully unsubscribed.","正常に購読解除しました"
"Unsubcribed","未購読"
"Unsubscribe Selected","未購読を選択しました"
"Not Sent","未送信"
"Success Email Template","成功メールテンプレート"
"Success Email Sender","成功メール送信者"
"Back","戻る"
"Create Newsletter Template","新しいメールテンプレートを作成"
"Please enter new template name","新しいテンプレート名を入力してください"
"New Newsletter Template","新規メールマガジンテンプレート"
"New Template","新規テンプレート"
"Cannot mark as received subscriber","既に購読しているのでマークできません"
"Date Updated","更新日"
