"%d Review(s)","%d レビュー"
"%s Review(s)","%sのレビュー"
"Buy %s for %s","%sを%sで買う"
"Edit Review '%s'","'%s'のレビューを編集"
"(Posted on %s)","(投稿者 %s)"
"1 star","1つ星"
"2 stars","2つ星"
"3 stars","3つ星"
"4 stars","4つ星"
"5 stars","5つ星"
"Add to Wishlist","ほしい物リストに追加"
"OR","または"
"You have submitted no reviews.","まだレビューを書いていません。"
"Write Your Own Review","あなたのレビューを投稿する"
"Be the first to review this product","この商品の最初のレビューを書きませんか？"
"How do you rate this product?","この商品をどうやって格付けしますか？"
"SKU","単位"
"Name","名前"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Average Customer Rating","平均評価"
"Average Customer Rating:","平均評価:"
"Store Views","店舗ビュー"
"Name In Store","店舗内の名前"
"Created On","作成者"
"Price","価格"
"Availability: In stock.","在庫状況: 在庫あり。"
"Availability: Out of stock.","在庫状況：在庫切れです"
"Review","レビュー"
"Your Review (submitted on %s):","レビュー (送信日 %s):"
"Back to My Reviews","レビューに戻る"
"Save Review","レビューの保存"
"Summary of Review","レビューのサマリ"
"Summary of Review","レビューのサマリ"
"Summary of Your Review","レビューのサマリ"
"Summary of review","レビューのサマリ"
"Summary of review","レビューのサマリ"
"Your review has been accepted for moderation","レビューを受け付けました"
"Add Your Review","レビューを追加"""
"Unable to post review. Please, try again later.","レビューを投稿できませんでした。やり直してください。"
"Delete Review","レビュー削除"
"Review Details","レビュー詳細"
"Submit Review","レビュー送信"
"Review by %s","レビュー者 %s"
"Nickname","ニックネーム"
"Update status","アップデート状況"
"Add Items to Cart","カートに入れる"
"Add to Cart","カートに入れる"
"Customer Reviews","カスタマーレビュー"
"Guest","ゲスト様"
"Status","ステータス"
"Title","タイトル"
"Type","タイプ"
"Are you sure?","よろしいですか？"
"Product","商品"
"Product SKU","商品単位"
"Product Name","商品名"
"Back to Main Product Info","商品メイン情報に戻る"
"My Product Reviews","商品レビュー"
"Product Reviews","商品レビュー"
"Product Review (submitted on %s):","商品レビュー (送信者 %s):"
"Back to Product Reviews","商品レビューに戻る"
"Please select a product","商品を選択してください"
"Product Rating","商品格付け"
"Product Rating:","商品格付け:"
"All Reviews","全てのレビュー"
"View All Reviews","全てのレビューを表示"
"Delete","削除"
"You're reviewing: %s","「%s」 をレビューしています。"
"Qty","個数"
"Administrator","管理者"
"Zoom Out","縮小"
"Customer","顧客"
"Visible In","表示先"
"View Details","詳細を表示"
"Detailed Rating","評価の詳細"
"ID","ID"
"Visible Ins","Visible Ins"
"Posted By","投稿者"
"Rating:","格付け:"
"Your Rating:","格付け:"
"Please select one of each of the ratings above","格付けをどれか選択してください"
"Summary Rating","格付け送信"
"Add to Compare","比較対象に入れる"
"Pending Reviews","未公開のレビュー"
"My Recent Reviews","最近のレビュー"
"Back","戻る"
"New Review","新しいレビュー"
"Add New Review","新規レビューの追加"
"Zoom In","拡大"
